task,gene_set,n_active,mean_nes,median_nes,q_lt_0_05_n,q_lt_0_10_n,q_lt_primary_n,q_lt_primary_pos_n,q_lt_primary_neg_n,fraction_q_lt_0_05,fraction_q_lt_0_10,fraction_q_lt_0_05_signed,confirmed_enriched,nominally_enriched,mean_abs_nes_significant,dominant_sign,n_endpoints_significant
NR-Aromatase,heme Metabolism,76,0.6189464944380555,1.1334401421854494,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,mTORC1 Signaling,76,0.7361107039963982,1.0902082903719916,1,9,9,0,0,0.013157894736842105,0.11842105263157894,0.013157894736842105,True,True,0.0,1,3
NR-Aromatase,p53 Pathway,76,0.6563572820304059,1.0402721014093326,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,2
SR-ARE,Adipogenesis,98,0.3080374502086898,0.8665610864663872,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,Allograft Rejection,98,-0.03031646230207112,-0.06460687122177466,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,1
SR-ARE,Androgen Response,98,-0.07261414388882403,-0.6125998817729521,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
SR-ARE,Angiogenesis,98,-0.04552601390958426,-0.4498507527820884,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
SR-ARE,Apical Junction,98,0.03689368486465981,0.6103879426485588,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,Apical Surface,98,0.029865777187152758,0.07144210499330078,0,2,2,0,0,0.0,0.02040816326530612,0.0,False,True,0.0,1,1
SR-ARE,Apoptosis,98,0.40517971501263994,0.963771667610308,3,3,3,0,0,0.030612244897959183,0.030612244897959183,0.030612244897959183,True,True,0.0,1,2
SR-ARE,Bile Acid Metabolism,98,0.14117866119520223,0.6732867461738576,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,Cholesterol Homeostasis,98,0.12290448434722401,0.7031200855252151,1,2,2,0,0,0.01020408163265306,0.02040816326530612,0.01020408163265306,True,True,0.0,1,2
SR-ARE,Coagulation,98,0.36450005321088685,0.9385349337349769,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,Complement,98,0.3744024729294283,1.0032040046095383,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,DNA Repair,98,0.026826560324551853,0.6238737978891107,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,E2F Targets,98,0.4039090867297919,1.0287538503348066,15,22,22,0,0,0.15306122448979592,0.22448979591836735,0.15306122448979592,True,True,0.0,1,4
SR-ARE,Epithelial Mesenchymal Transition,98,0.3127249883669403,0.9037278770913086,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,Estrogen Response Early,98,0.34665371498570796,0.923141296438741,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,Estrogen Response Late,98,0.34142998148381076,0.9234676890072295,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,Fatty Acid Metabolism,98,0.10274835513904036,0.6981520196540953,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,G2-M Checkpoint,98,0.3250409282345492,1.021438991761792,9,21,21,0,0,0.09183673469387756,0.21428571428571427,0.09183673469387756,True,True,0.0,1,3
SR-ARE,Glycolysis,98,0.34936653941706314,0.9126250024970433,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,Hedgehog Signaling,98,-0.20762731743242185,-0.608562371846201,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
SR-ARE,Hypoxia,98,0.5602097962676814,1.1264086538414277,3,10,10,0,0,0.030612244897959183,0.10204081632653061,0.030612244897959183,True,True,0.0,1,1
SR-ARE,IL-2/STAT5 Signaling,98,0.2666490896393546,0.767483054654841,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,IL-6/JAK/STAT3 Signaling,98,0.2943765687556259,0.8016677324272115,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-ARE,Inflammatory Response,98,0.25844021203651274,0.866926340401093,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,Interferon Alpha Response,98,0.1107029666740641,0.7074901583726161,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,Interferon Gamma Response,98,0.2637174126971362,0.9552217981909489,1,1,1,0,0,0.01020408163265306,0.01020408163265306,0.01020408163265306,True,True,0.0,1,2
SR-ARE,KRAS Signaling Dn,98,-0.14908184032920602,-0.5707698969370054,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,1
SR-ARE,KRAS Signaling Up,98,0.2778731943436188,0.8527288677943352,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-ARE,Mitotic Spindle,98,0.31638721330498765,0.9645209286441978,2,2,2,0,0,0.02040816326530612,0.02040816326530612,0.02040816326530612,True,True,0.0,1,2
SR-ARE,Myc Targets V1,98,0.21057613356718946,0.7528686426552893,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,2
SR-ARE,Myc Targets V2,98,0.22978350028779165,0.7936187407397766,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-ARE,Myogenesis,98,0.19486632577054147,0.7488980696892394,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,Notch Signaling,98,-0.05528076834047424,-0.3941553080307024,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
SR-ARE,Oxidative Phosphorylation,98,0.18284495773535586,0.7768856671509528,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,PI3K/AKT/mTOR  Signaling,98,0.29481880244921366,0.7850752641278156,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,Pancreas Beta Cells,98,-0.0650121621478005,-0.7038936947849415,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
SR-ARE,Pperoxisome,98,0.15269790298948693,0.7987854326989781,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,2
SR-ARE,Protein Secretion,98,-0.20356768310970658,-0.7359171689049915,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
SR-ARE,Reactive Oxygen Species Pathway,98,0.46323219105463836,1.1253286628017845,2,6,6,0,0,0.02040816326530612,0.061224489795918366,0.02040816326530612,True,True,0.0,1,1
SR-ARE,Spermatogenesis,98,0.05769552245717039,0.6876530383991379,1,2,2,0,0,0.01020408163265306,0.02040816326530612,0.01020408163265306,True,True,0.0,1,1
SR-ARE,TGF-beta Signaling,98,0.34311105611317316,0.9590130914079168,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-ARE,TNF-alpha Signaling via NF-kB,98,0.4429179031137117,1.0606135808669737,34,37,37,0,0,0.3469387755102041,0.37755102040816324,0.3469387755102041,True,True,0.0,1,4
SR-ARE,UV Response Dn,98,0.328775788700121,0.8193422755819753,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-ARE,UV Response Up,98,0.4216534670142987,0.9978545378692916,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,Unfolded Protein Response,98,0.4363948227229073,0.9494732177321807,7,15,15,0,0,0.07142857142857142,0.15306122448979592,0.07142857142857142,True,True,0.0,1,1
SR-ARE,Wnt-beta Catenin Signaling,98,0.2363202962281952,0.7675958153112251,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,Xenobiotic Metabolism,98,0.20075916478811875,0.8379384365457072,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,heme Metabolism,98,0.36223636334640785,0.8511507476273565,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-ARE,mTORC1 Signaling,98,0.518286722551881,1.0995266140873177,8,12,12,0,0,0.08163265306122448,0.12244897959183673,0.08163265306122448,True,True,0.0,1,3
SR-ARE,p53 Pathway,98,0.6845257445685752,1.2391076170768942,12,20,20,0,0,0.12244897959183673,0.20408163265306123,0.12244897959183673,True,True,0.0,1,2
SR-MMP,Adipogenesis,141,0.3370501727180838,0.8907542029973431,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,Allograft Rejection,141,0.2660851295568585,0.844650412872265,3,5,5,0,0,0.02127659574468085,0.03546099290780142,0.02127659574468085,True,True,0.0,1,1
SR-MMP,Androgen Response,141,0.242672221447323,0.7527019350411543,0,2,2,0,0,0.0,0.014184397163120567,0.0,False,True,0.0,1,0
SR-MMP,Angiogenesis,141,0.1516481281826624,0.6499116475619293,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,Apical Junction,141,0.23458651096974378,0.7452898702566018,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,Apical Surface,141,0.4198553815070213,0.9492994606113323,1,1,1,0,0,0.0070921985815602835,0.0070921985815602835,0.0070921985815602835,True,True,0.0,1,1
SR-MMP,Apoptosis,141,0.30918837721581216,0.9103305791520983,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,2
SR-MMP,Bile Acid Metabolism,141,0.3851150050757735,0.9672028726865552,0,3,3,0,0,0.0,0.02127659574468085,0.0,False,True,0.0,1,0
SR-MMP,Cholesterol Homeostasis,141,0.4143008576300453,0.8550292238088412,0,1,1,0,0,0.0,0.0070921985815602835,0.0,False,True,0.0,1,2
SR-MMP,Coagulation,141,-0.05697078015768141,-0.5349617623973487,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
SR-MMP,Complement,141,0.05953307409569959,0.6092113486584471,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,DNA Repair,141,0.2849686202587535,0.8440221032791407,0,2,2,0,0,0.0,0.014184397163120567,0.0,False,True,0.0,1,0
SR-MMP,E2F Targets,141,0.26928224050015703,0.9251470687300762,2,23,23,0,0,0.014184397163120567,0.16312056737588654,0.014184397163120567,True,True,0.0,1,4
SR-MMP,Epithelial Mesenchymal Transition,141,0.28674107527235093,0.887092712710639,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,Estrogen Response Early,141,0.20766984886858647,0.7674717757638364,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,Estrogen Response Late,141,0.18797408107803612,0.8407172746054867,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,Fatty Acid Metabolism,141,0.3165299528152997,0.9549153821357804,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,G2-M Checkpoint,141,0.2928374494610915,0.8300076023019357,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,3
SR-MMP,Glycolysis,141,0.40008444791742254,0.9101433567836416,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,Hedgehog Signaling,141,-0.10579950184368184,-0.573310414507332,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
SR-MMP,Hypoxia,141,0.4354680025549842,0.9958579683776517,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-MMP,IL-2/STAT5 Signaling,141,0.29291783417039624,0.7821847113005785,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,IL-6/JAK/STAT3 Signaling,141,0.26445980389955326,0.8347829938396704,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-MMP,Inflammatory Response,141,0.2417288111691543,0.7716282210210286,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,Interferon Alpha Response,141,0.42407882777752004,0.9565244222692069,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,Interferon Gamma Response,141,0.42269786171312546,1.0203170850230794,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,2
SR-MMP,KRAS Signaling Dn,141,0.040313903843539445,0.5877570176193113,1,1,1,0,0,0.0070921985815602835,0.0070921985815602835,0.0070921985815602835,True,True,0.0,1,1
SR-MMP,KRAS Signaling Up,141,0.11503705640666594,0.6659469435534785,2,2,2,0,0,0.014184397163120567,0.014184397163120567,0.014184397163120567,True,True,0.0,1,1
SR-MMP,Mitotic Spindle,141,0.18559397517008824,0.7757012017991298,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,2
SR-MMP,Myc Targets V1,141,0.35281602868209483,0.8414832866369171,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,2
SR-MMP,Myc Targets V2,141,0.11257381896386993,0.6414636831473092,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-MMP,Myogenesis,141,0.2524490731200285,0.7805909185134182,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,Notch Signaling,141,-0.09614862810658982,-0.6548963736127011,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
SR-MMP,Oxidative Phosphorylation,141,0.1615457982321604,0.6434465901922564,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,PI3K/AKT/mTOR  Signaling,141,0.3538173657067277,0.9666672935191494,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,Pancreas Beta Cells,141,-0.10647743675133534,-0.7322770018785091,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
SR-MMP,Pperoxisome,141,0.49529525365497257,1.0541688431966705,3,5,5,0,0,0.02127659574468085,0.03546099290780142,0.02127659574468085,True,True,0.0,1,2
SR-MMP,Protein Secretion,141,-0.013210973860122904,0.44505663977358173,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
SR-MMP,Reactive Oxygen Species Pathway,141,0.36172271977978987,0.9119335638334378,0,1,1,0,0,0.0,0.0070921985815602835,0.0,False,True,0.0,1,1
SR-MMP,Spermatogenesis,141,0.0916457443440959,0.621909356763975,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-MMP,TGF-beta Signaling,141,0.20531362721733554,0.7857581387672092,1,1,1,0,0,0.0070921985815602835,0.0070921985815602835,0.0070921985815602835,True,True,0.0,1,1
SR-MMP,TNF-alpha Signaling via NF-kB,141,0.4260896094584145,0.9751580069225554,16,33,33,0,0,0.11347517730496454,0.23404255319148937,0.11347517730496454,True,True,0.0,1,4
SR-MMP,UV Response Dn,141,0.23511842924182444,0.8130536967713604,1,1,1,0,0,0.0070921985815602835,0.0070921985815602835,0.0070921985815602835,True,True,0.0,1,1
SR-MMP,UV Response Up,141,0.2853483725448646,0.7955869670121574,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,Unfolded Protein Response,141,0.36996538686772956,0.8843095528493642,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-MMP,Wnt-beta Catenin Signaling,141,0.08090777065055446,0.6605910769053381,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,Xenobiotic Metabolism,141,0.37534120135193016,0.9223900609844771,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,heme Metabolism,141,0.1881850060288882,0.7360742662843679,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-MMP,mTORC1 Signaling,141,0.4579247076656292,0.9166920492309841,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,3
SR-MMP,p53 Pathway,141,0.4039850619572025,0.9603080459939622,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,2
SR-p53,Adipogenesis,98,0.6668792924482271,1.0870131233418188,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,Allograft Rejection,98,0.34521848546578326,0.724609982207483,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-p53,Androgen Response,98,0.21184426909178583,0.742616464606868,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,Angiogenesis,98,-0.07173754683901361,0.002976324350244086,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
SR-p53,Apical Junction,98,0.4227725018902372,0.8584394960196187,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,Apical Surface,98,0.3785881852452836,0.8420923896209704,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-p53,Apoptosis,98,0.7600962875706625,1.1803173476525657,2,2,2,0,0,0.02040816326530612,0.02040816326530612,0.02040816326530612,True,True,0.0,1,2
SR-p53,Bile Acid Metabolism,98,0.30844224270449905,0.9926100648988303,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,Cholesterol Homeostasis,98,0.5245989613498482,0.9096745405847209,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,2
SR-p53,Coagulation,98,0.17671353851491445,0.6310476067956523,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,Complement,98,0.23534573181592897,0.7297168963679938,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,DNA Repair,98,0.7373428912622269,1.17317245303963,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,E2F Targets,98,0.7975156486468363,1.3239199157668273,52,68,68,0,0,0.5306122448979592,0.6938775510204082,0.5306122448979592,True,True,0.0,1,4
SR-p53,Epithelial Mesenchymal Transition,98,0.6219444080465641,1.0215492529971937,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,Estrogen Response Early,98,0.4207635852514496,0.8708944740238099,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,Estrogen Response Late,98,0.339767809532208,0.8771451005568658,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,Fatty Acid Metabolism,98,0.45955801522323775,0.8225640757014391,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,G2-M Checkpoint,98,0.7362289364566553,1.3538735278797547,51,59,59,0,0,0.5204081632653061,0.6020408163265306,0.5204081632653061,True,True,0.0,1,3
SR-p53,Glycolysis,98,0.5896697986013546,1.0739817766814435,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,Hedgehog Signaling,98,-0.31241762901696235,-0.6551441176562349,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
SR-p53,Hypoxia,98,0.5779475948036402,1.0488058343909605,0,5,5,0,0,0.0,0.05102040816326531,0.0,False,True,0.0,1,1
SR-p53,IL-2/STAT5 Signaling,98,0.3918945103492208,0.8691796985229561,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,IL-6/JAK/STAT3 Signaling,98,0.4807789054354512,0.9678502356585172,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-p53,Inflammatory Response,98,0.5354610340727207,1.0152911774278501,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,Interferon Alpha Response,98,0.34355661234491225,0.7791609069367498,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
SR-p53,Interferon Gamma Response,98,0.5636874927742324,1.0159991193980253,3,6,6,0,0,0.030612244897959183,0.061224489795918366,0.030612244897959183,True,True,0.0,1,2
SR-p53,KRAS Signaling Dn,98,0.2372884126681165,0.816577250742341,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-p53,KRAS Signaling Up,98,0.1248278705157327,0.5791258623237479,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
SR-p53,Mitotic Spindle,98,0.6082805278182191,1.2276174163712914,16,34,34,0,0,0.16326530612244897,0.3469387755102041,0.16326530612244897,True,True,0.0,1,2
SR-p53,Myc Targets V1,98,0.5209950019509584,1.1711432281966307,1,19,19,0,0,0.01020408163265306,0.19387755102040816,0.01020408163265306,True,True,0.0,1,2
SR-p53,Myc Targets V2,98,0.4116417267732373,0.9762549806185674,1,1,1,0,0,0.01020408163265306,0.01020408163265306,0.01020408163265306,True,True,0.0,1,1
SR-p53,Myogenesis,98,0.8433012459815353,1.2059104156713096,0,2,2,0,0,0.0,0.02040816326530612,0.0,False,True,0.0,1,0
