ik,y,mean_probability_chem,mean_probability_chem_plus_bio,mean_delta_p,mean_aligned_delta_p,sd_aligned_delta_p,median_aligned_delta_p,mean_delta_rank,mean_aligned_delta_rank,mean_B,mean_aligned_B,mean_delta_log_loss,mean_log_loss_improvement,wilcoxon_p_aligned_delta_p,n_positive_direction,n_repeats_exceeding_threshold,n_repeats,task,drug_name,bh_q_rescue_correction,stable_min_repeats,selected_wilcoxon_only,magnitude_ok,selected,selected_q_lt_0.01,selected_q_lt_0.05,selected_q_lt_0.1,selected_q_lt_0.2,selected_previous,role,favorable_change,selected_delta_p,compound_name,tox21_label_conflict,display_rank
MDKGKXOCJGEUJW,0,0.0770379429803289,0.0690351758970145,-0.0080027670833144,0.0080027670833144,0.0040925100179765,0.0086102341322192,-0.0517292490118577,0.0517292490118577,-0.1189877842252217,0.1189877842252217,-0.0086308189119639,0.0086308189119639,2.86102294921875e-06,19,0,20,NR-Aromatase,suprofen,6.242231889204546e-06,False,True,False,False,False,False,False,False,False,Correction,0.0080027670833144,,Suprofen,False,13
NUHPODZZKHQQET,0,0.0473325285715488,0.0405762684224885,-0.0067562601490602,0.0067562601490602,0.0028415144696276,0.0062537704654653,-0.0181818181818181,0.0181818181818181,-0.1632229721742013,0.1632229721742013,-0.0070646367591412,0.0070646367591412,9.5367431640625e-07,20,0,20,NR-Aromatase,siguazodan,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False,Correction,0.0067562601490602,,Siguazodan,False,14
OZGNYLLQHRPOBR,0,0.085388914783213,0.0788281179821157,-0.0065607968010972,0.0065607968010972,0.0028538298787786,0.0073626241310008,-0.0416007905138339,0.0416007905138339,-0.086838876239644,0.086838876239644,-0.0071516613321847,0.0071516613321847,9.5367431640625e-07,20,0,20,NR-Aromatase,naftifine,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False,Correction,0.0065607968010972,,Naftifine,False,19
PCLITLDOTJTVDJ,0,0.1411684468104727,0.1161490219989136,-0.0250194248115591,0.0250194248115591,0.012466395128322,0.0232098233753391,-0.0833498023715415,0.0833498023715415,-0.2255273102832921,0.2255273102832921,-0.0287113480930569,0.0287113480930569,9.5367431640625e-07,20,16,20,NR-Aromatase,clomethiazole,2.4190763147865854e-06,True,True,True,True,True,True,True,True,True,Correction,0.0250194248115591,0.0250194248115591,Clomethiazole,False,5
RBTBFTRPCNLSDE,1,0.1580351075157227,0.526165972502332,0.3681308649866093,0.3681308649866093,0.1587271061969899,0.321987909059662,0.0286561264822134,0.0286561264822134,1.7925445940303653,1.7925445940303653,-1.1525677123349822,1.1525677123349822,9.5367431640625e-07,20,20,20,NR-Aromatase,methylene-blue,1.6472556374289773e-06,True,True,True,True,True,True,True,True,True,Rescue,0.3681308649866093,0.3681308649866093,Methylene Blue,False,1
RGPDEAGGEXEMMM,0,0.077598523808293,0.0643143442420115,-0.0132841795662815,0.0132841795662815,0.0059944486191423,0.0138216658619397,-0.1074604743083003,0.1074604743083003,-0.2037294779880975,0.2037294779880975,-0.0142943199528684,0.0142943199528684,9.5367431640625e-07,20,2,20,NR-Aromatase,nefopam,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False,Correction,0.0132841795662815,,Nefopam,False,17
TVQZAMVBTVNYLA,0,0.0813288390718322,0.059278253783588,-0.0220505852882442,0.0220505852882442,0.0095640054218864,0.0212842784086173,-0.2082509881422924,0.2082509881422924,-0.3586801078947609,0.3586801078947609,-0.0236669801250617,0.0236669801250617,9.5367431640625e-07,20,13,20,NR-Aromatase,pranoprofen,2.4190763147865854e-06,False,True,True,True,False,False,False,False,False,Correction,0.0220505852882442,0.0220505852882442,Pranoprofen,False,8
UGTJLJZQQFGTJD,1,0.1486761506335435,0.5909302855499918,0.4422541349164482,0.4422541349164482,0.1776909839753767,0.5005061029249205,0.0422430830039525,0.0422430830039525,2.156780807149357,2.156780807149357,-1.3243514106606544,1.3243514106606544,9.5367431640625e-07,20,20,20,NR-Aromatase,CCCP,1.6472556374289773e-06,True,True,True,True,True,True,True,True,True,Rescue,0.4422541349164482,0.4422541349164482,CCCP,False,5
UIARLYUEJFELEN,1,0.1315811445579755,0.4092195752998463,0.2776384307418707,0.2776384307418707,0.1480370816405203,0.2747383484025931,0.0538537549407114,0.0538537549407114,1.4718331486484708,1.4718331486484708,-1.0537432746664486,1.0537432746664486,9.5367431640625e-07,20,19,20,NR-Aromatase,lestaurtinib,1.6472556374289773e-06,True,True,True,True,True,True,True,True,True,Rescue,0.2776384307418707,0.2776384307418707,Lestaurtinib,False,6
VEMKTZHHVJILDY,0,0.0928477413874868,0.0805700938526877,-0.012277647534799,0.012277647534799,0.008327302817859,0.0121059042990145,-0.0931818181818181,0.0931818181818181,-0.1597644859360328,0.1597644859360328,-0.0134074914775533,0.0134074914775533,8.392333984375e-05,19,3,20,NR-Aromatase,resmethrin,0.0001501954992232,False,True,False,False,False,False,False,False,False,Correction,0.012277647534799,,Resmethrin,False,7
WDDPHFBMKLOVOX,1,0.1147800677088847,0.3633355173221963,0.2485554496133116,0.2485554496133116,0.1386418768029113,0.2991619749184762,0.0823122529644268,0.0823122529644268,1.4065480693989252,1.4065480693989252,-1.0531441407700757,1.0531441407700757,9.5367431640625e-07,20,16,20,NR-Aromatase,clofarabine,1.6472556374289773e-06,True,True,True,True,True,True,True,True,True,Rescue,0.2485554496133116,0.2485554496133116,Clofarabine,False,15
WGQKYBSKWIADBV,0,0.0648900215600507,0.064922929440924,3.290788087329452e-05,-3.290788087329452e-05,0.0056010765255824,0.0007138683132156,0.0404150197628458,-0.0404150197628458,-0.0052482049975867,0.0052482049975867,5.935722903825553e-05,-5.935722903825553e-05,0.2261877059936523,13,0,20,NR-Aromatase,benzydamine,0.2969308454559026,False,False,False,False,False,False,False,False,False,Correction,-3.290788087329452e-05,,Benzydamine,False,20
XDRYMKDFEDOLFX,1,0.0847718464476214,0.1701012409150495,0.0853293944674281,0.0853293944674281,0.0578239511717268,0.0593453524122434,0.1817193675889328,0.1817193675889328,0.7386901505481032,0.7386901505481032,-0.6382313894703918,0.6382313894703918,9.5367431640625e-07,20,14,20,NR-Aromatase,pentamidine,1.6472556374289773e-06,False,True,True,True,False,False,False,False,False,Rescue,0.0853293944674281,0.0853293944674281,Pentamidine,False,19
YWJXCIXBAKGUKZ,0,0.0479500821361703,0.0448036800814691,-0.0031464020547012,0.0031464020547012,0.008301285515878,0.0054263694448168,0.0329545454545454,-0.0329545454545454,-0.0798283233257258,0.0798283233257258,-0.0032759845125797,0.0032759845125797,0.0036478042602539,17,0,20,NR-Aromatase,bergenin,0.0055881256752825,False,True,False,False,False,False,False,False,False,Correction,0.0031464020547012,,Bergenin,False,2
BMUKKTUHUDJSNZ,0,0.235275147677226,0.1914694904333932,-0.0438056572438327,0.0438056572438327,0.0223693838992597,0.0475894440260437,-0.0967849223946785,0.0967849223946785,-0.2667216723158394,0.2667216723158394,-0.0554586221017143,0.0554586221017143,9.5367431640625e-07,20,17,20,SR-ARE,isoxsuprine,2.6507640448142224e-06,True,True,True,True,True,True,True,True,True,Correction,0.0438056572438327,0.0438056572438327,Isoxsuprine,False,15
FJLGEFLZQAZZCD,0,0.3392051765349869,0.2507605078873648,-0.0884446686476221,0.0884446686476221,0.0516811830381179,0.0879420677361963,-0.1729490022172949,0.1729490022172949,-0.4474835882733622,0.4474835882733622,-0.1234262790755648,0.1234262790755648,9.5367431640625e-07,20,18,20,SR-ARE,fluvastatin,2.6507640448142224e-06,True,True,True,True,True,True,True,True,True,Correction,0.0884446686476221,0.0884446686476221,Fluvastatin,False,6
GDLIGKIOYRNHDA,0,0.3249156877278182,0.2426370114999057,-0.0822786762279124,0.0822786762279124,0.0648216857682299,0.0674342156998653,-0.1827050997782705,0.1827050997782705,-0.4588287581094576,0.4588287581094576,-0.1111959083333961,0.1111959083333961,9.5367431640625e-07,20,17,20,SR-ARE,clomipramine,2.6507640448142224e-06,True,True,True,True,True,True,True,True,True,Correction,0.0822786762279124,0.0822786762279124,Clomipramine,False,10
HOGVTUZUJGHKPL,1,0.256579562984065,0.6202376252786663,0.3636580622946012,0.3636580622946012,0.225121992449318,0.3639868542556433,0.2514412416851441,0.2514412416851441,1.7687674396581314,1.7687674396581314,-0.8081972477071597,0.8081972477071597,9.5367431640625e-07,20,17,20,SR-ARE,triciribine,2.1734903025072675e-06,True,True,True,True,True,True,True,True,True,Rescue,0.3636580622946012,0.3636580622946012,Triciribine,False,12
IENZQIKPVFGBNW,0,0.3089409007151492,0.2367610289732749,-0.0721798717418742,0.0721798717418742,0.036751411054504,0.0695642627251836,-0.1507760532150776,0.1507760532150776,-0.378410543390495,0.378410543390495,-0.0981212124640311,0.0981212124640311,9.5367431640625e-07,20,19,20,SR-ARE,prazosin,2.6507640448142224e-06,True,True,True,True,True,True,True,True,True,Correction,0.0721798717418742,0.0721798717418742,Prazosin,False,18
IXORZMNAPKEEDV,0,0.2345927509799947,0.1929638570211806,-0.0416288939588141,0.0416288939588141,0.026725029242371,0.0343376085075574,-0.0895787139689578,0.0895787139689578,-0.2569470375281258,0.2569470375281258,-0.0525118920514223,0.0525118920514223,9.5367431640625e-07,20,16,20,SR-ARE,MD-920,2.6507640448142224e-06,True,True,True,True,True,True,True,True,True,Correction,0.0416288939588141,0.0416288939588141,MD-920,False,12
JBIMVDZLSHOPLA,0,0.3422126559452845,0.2594912770189354,-0.082721378926349,0.082721378926349,0.044610922067769,0.0715142608722567,-0.1550997782705099,0.1550997782705099,-0.4133846081838945,0.4133846081838945,-0.1163646330264608,0.1163646330264608,9.5367431640625e-07,20,19,20,SR-ARE,olopatadine,2.6507640448142224e-06,True,True,True,True,True,True,True,True,True,Correction,0.082721378926349,0.082721378926349,Olopatadine,False,9
JXLYSJRDGCGARV,1,0.2824252565946926,0.5474330981240333,0.2650078415293406,0.2650078415293406,0.2120689270792815,0.3007698100838363,0.1716186252771618,0.1716186252771618,1.1890915167844691,1.1890915167844691,-0.5859574704321843,0.5859574704321843,9.5367431640625e-07,20,15,20,SR-ARE,vinblastine,2.1734903025072675e-06,True,True,True,True,True,True,True,True,True,Rescue,0.2650078415293406,0.2650078415293406,Vinblastine,False,7
KYRVNWMVYQXFEU,1,0.3971474548319161,0.6724865390639541,0.2753390842320379,0.2753390842320379,0.1436034542107651,0.293343580443692,0.0717294900221729,0.0717294900221729,1.2272820316641688,1.2272820316641688,-0.5042172172330509,0.5042172172330509,9.5367431640625e-07,20,18,20,SR-ARE,nocodazole,2.1734903025072675e-06,True,True,True,True,True,True,True,True,True,Rescue,0.2753390842320379,0.2753390842320379,Nocodazole,False,11
NUHPODZZKHQQET,0,0.1724887485036271,0.1355150231328112,-0.0369737253708159,0.0369737253708159,0.0263964935812929,0.0322723571213153,-0.0916851441241685,0.0916851441241685,-0.3096553142568165,0.3096553142568165,-0.0432482353649342,0.0432482353649342,9.5367431640625e-07,20,15,20,SR-ARE,siguazodan,2.6507640448142224e-06,True,True,True,True,True,True,True,True,True,Correction,0.0369737253708159,0.0369737253708159,Siguazodan,False,14
OPXLLQIJSORQAM,1,0.3455655449860154,0.6531151337220135,0.307549588735998,0.307549588735998,0.1735003673907737,0.3089008163496076,0.117960088691796,0.117960088691796,1.352494796061476,1.352494796061476,-0.5979559692827695,0.5979559692827695,9.5367431640625e-07,20,17,20,SR-ARE,mebendazole,2.1734903025072675e-06,True,True,True,True,True,True,True,True,True,Rescue,0.307549588735998,0.307549588735998,Mebendazole,False,8
OZGNYLLQHRPOBR,0,0.3123294132603686,0.2830080616151748,-0.0293213516451938,0.0293213516451938,0.0202031900251571,0.0224329895062174,-0.0608647450110864,0.0608647450110864,-0.1432724961306839,0.1432724961306839,-0.0413724715615366,0.0413724715615366,9.5367431640625e-07,20,10,20,SR-ARE,naftifine,2.6507640448142224e-06,False,True,True,True,False,False,False,False,False,Correction,0.0293213516451938,0.0293213516451938,Naftifine,False,19
PCLITLDOTJTVDJ,0,0.321887309338951,0.2808110166832461,-0.0410762926557048,0.0410762926557048,0.0190580628944432,0.0365102626704999,-0.0784922394678492,0.0784922394678492,-0.1996979711757482,0.1996979711757482,-0.0582230225820038,0.0582230225820038,9.5367431640625e-07,20,19,20,SR-ARE,clomethiazole,2.6507640448142224e-06,True,True,True,True,True,True,True,True,True,Correction,0.0410762926557048,0.0410762926557048,Clomethiazole,False,5
RBTBFTRPCNLSDE,1,0.5046549496456019,0.6992288946834031,0.1945739450378013,0.1945739450378013,0.111802229647754,0.235957724737941,0.0023281596452328,0.0023281596452328,0.8791613741355926,0.8791613741355926,-0.3128062787243584,0.3128062787243584,9.5367431640625e-07,20,17,20,SR-ARE,methylene-blue,2.1734903025072675e-06,True,True,True,True,True,True,True,True,True,Rescue,0.1945739450378013,0.1945739450378013,Methylene Blue,False,1
RGPDEAGGEXEMMM,0,0.1574711520977174,0.1084938856205185,-0.0489772664771988,0.0489772664771988,0.0246780184536594,0.044872036160345,-0.1388026607538802,0.1388026607538802,-0.4498614529550425,0.4498614529550425,-0.056203829558327,0.056203829558327,9.5367431640625e-07,20,17,20,SR-ARE,nefopam,2.6507640448142224e-06,True,True,True,True,True,True,True,True,True,Correction,0.0489772664771988,0.0489772664771988,Nefopam,False,17
WDDPHFBMKLOVOX,1,0.1116911514928345,0.2517100297692151,0.1400188782763805,0.1400188782763805,0.1086668086057475,0.1007108786840211,0.3990022172949002,0.3990022172949002,0.8994028615522625,0.8994028615522625,-0.7175280051843113,0.7175280051843113,9.5367431640625e-07,20,15,20,SR-ARE,clofarabine,2.1734903025072675e-06,True,True,True,True,True,True,True,True,True,Rescue,0.1400188782763805,0.1400188782763805,Clofarabine,False,15
WGQKYBSKWIADBV,0,0.1038371092084071,0.0830381415178338,-0.0207989676905732,0.0207989676905732,0.0135653609730205,0.0182232496378364,-0.0392461197339246,0.0392461197339246,-0.2659624438594226,0.2659624438594226,-0.0228300466633974,0.0228300466633974,9.5367431640625e-07,20,8,20,SR-ARE,benzydamine,2.6507640448142224e-06,False,True,True,True,False,False,False,False,False,Correction,0.0207989676905732,0.0207989676905732,Benzydamine,False,20
XDRYMKDFEDOLFX,1,0.2200935118659472,0.5974294261021791,0.3773359142362317,0.3773359142362317,0.217991069002098,0.4018573015813197,0.3406873614190687,0.3406873614190687,1.8110047282894155,1.8110047282894155,-0.9231105099109158,0.9231105099109158,9.5367431640625e-07,20,18,20,SR-ARE,pentamidine,2.1734903025072675e-06,True,True,True,True,True,True,True,True,True,Rescue,0.3773359142362317,0.3773359142362317,Pentamidine,False,19
AAOVKJBEBIDNHE,0,0.2554805929261371,0.21114272350243,-0.044337869423707,0.044337869423707,0.0154293586531759,0.0464516234233708,-0.0579725448785638,0.0579725448785638,-0.2486492658531681,0.2486492658531681,-0.0578859525615713,0.0578859525615713,9.5367431640625e-07,20,19,20,SR-MMP,diazepam,1.674643788722086e-06,True,True,True,True,True,True,True,True,True,Correction,0.044337869423707,0.044337869423707,Diazepam,False,16
BLXXJMDCKKHMKV,0,0.2969864352164855,0.2306547180685954,-0.06633171714789,0.06633171714789,0.0184723350993235,0.0696539009487205,-0.0707497360084477,0.0707497360084477,-0.3443242876219798,0.3443242876219798,-0.0901386817384361,0.0901386817384361,9.5367431640625e-07,20,20,20,SR-MMP,nabumetone,1.674643788722086e-06,True,True,True,True,True,True,True,True,True,Correction,0.06633171714789,0.06633171714789,Nabumetone,False,1
BMUKKTUHUDJSNZ,0,0.1361117143333248,0.1046396975401642,-0.0314720167931605,0.0314720167931605,0.0092240667224289,0.0305304933462298,-0.087961985216473,0.087961985216473,-0.3021585698561094,0.3021585698561094,-0.0357476897556209,0.0357476897556209,9.5367431640625e-07,20,19,20,SR-MMP,isoxsuprine,1.674643788722086e-06,True,True,True,True,True,True,True,True,True,Correction,0.0314720167931605,0.0314720167931605,Isoxsuprine,False,15
BUXRLJCGHZZYNE,0,0.1382832797416619,0.0720168288191906,-0.0662664509224712,0.0662664509224712,0.0175705811160011,0.0661375701887026,-0.2687434002111932,0.2687434002111932,-0.7512329319929689,0.7512329319929689,-0.0739673559623715,0.0739673559623715,9.5367431640625e-07,20,20,20,SR-MMP,cimaterol,1.674643788722086e-06,True,True,True,True,True,True,True,True,True,Correction,0.0662664509224712,0.0662664509224712,Cimaterol,False,3
GZUITABIAKMVPG,1,0.4919234911645755,0.7588450623303464,0.2669215711657707,0.2669215711657707,0.0658218246046984,0.2785045223212518,0.0120908130939809,0.0120908130939809,1.2154984061771523,1.2154984061771523,-0.4297241766680927,0.4297241766680927,9.5367431640625e-07,20,20,20,SR-MMP,raloxifene,2.0069862479594217e-06,True,True,True,True,True,True,True,True,True,Rescue,0.2669215711657707,0.2669215711657707,Raloxifene,False,18
HOGVTUZUJGHKPL,1,0.0859188621322961,0.3694414518105576,0.2835225896782615,0.2835225896782615,0.1561561767029269,0.2785617448916777,0.472544878563886,0.472544878563886,1.781659971010471,1.781659971010471,-1.3751595810086272,1.3751595810086272,9.5367431640625e-07,20,20,20,SR-MMP,triciribine,2.0069862479594217e-06,True,True,True,True,True,True,True,True,True,Rescue,0.2835225896782615,0.2835225896782615,Triciribine,False,12
IENZQIKPVFGBNW,0,0.0857896250861847,0.0731529199420334,-0.0126367051441512,0.0126367051441512,0.004605969180106,0.0129655455482454,-0.0224920802534318,0.0224920802534318,-0.1745646510210375,0.1745646510210375,-0.0137245277153182,0.0137245277153182,9.5367431640625e-07,20,0,20,SR-MMP,prazosin,1.674643788722086e-06,False,True,False,False,False,False,False,False,False,Correction,0.0126367051441512,,Prazosin,False,18
IXORZMNAPKEEDV,0,0.1494082498190852,0.1119756247929885,-0.0374326250260966,0.0374326250260966,0.0179748081835039,0.0326888968934938,-0.1052798310454065,0.1052798310454065,-0.3405717227223395,0.3405717227223395,-0.0429497990367322,0.0429497990367322,9.5367431640625e-07,20,19,20,SR-MMP,MD-920,1.674643788722086e-06,True,True,True,True,True,True,True,True,True,Correction,0.0374326250260966,0.0374326250260966,MD-920,False,12
JAYAGJDXJIDEKI,1,0.1394736458381598,0.6813565303238198,0.54188288448566,0.54188288448566,0.2261757371533474,0.6264608519751609,0.319376979936642,0.319376979936642,2.720914560647479,2.720914560647479,-1.4968454557116828,1.4968454557116828,9.5367431640625e-07,20,19,20,SR-MMP,lanatoside-c,2.0069862479594217e-06,True,True,True,True,True,True,True,True,True,Rescue,0.54188288448566,0.54188288448566,Lanatoside C,False,9
JXLYSJRDGCGARV,1,0.2688302771066931,0.711640557528521,0.4428102804218278,0.4428102804218278,0.1872907830426711,0.5228482197224165,0.1062829989440337,0.1062829989440337,2.0462303036720444,2.0462303036720444,-0.927958495720432,0.927958495720432,9.5367431640625e-07,20,18,20,SR-MMP,vinblastine,2.0069862479594217e-06,True,True,True,True,True,True,True,True,True,Rescue,0.4428102804218278,0.4428102804218278,Vinblastine,False,7
KHOITXIGCFIULA,1,0.5054463550116987,0.9538972595413824,0.4484509045296835,0.4484509045296835,0.0327382928632741,0.4579606430795099,0.0284054910242872,0.0284054910242872,3.146366965729876,3.146366965729876,-0.6353793377766384,0.6353793377766384,9.5367431640625e-07,20,20,20,SR-MMP,bisacodyl,2.0069862479594217e-06,True,True,True,True,True,True,True,True,True,Rescue,0.4484509045296835,0.4484509045296835,Bisacodyl,False,13
KYRVNWMVYQXFEU,1,0.1410813194139595,0.4223633125971887,0.2812819931832292,0.2812819931832292,0.1333519313086505,0.3304313346044742,0.2617212249208025,0.2617212249208025,1.4591318060000993,1.4591318060000993,-1.0360497843865346,1.0360497843865346,9.5367431640625e-07,20,19,20,SR-MMP,nocodazole,2.0069862479594217e-06,True,True,True,True,True,True,True,True,True,Rescue,0.2812819931832292,0.2812819931832292,Nocodazole,False,11
LCTZPQRFOZKZNK,0,0.4569137287400443,0.3666240911810596,-0.0902896375589847,0.0902896375589847,0.0500303847743988,0.093007614181518,-0.0656810982048574,0.0656810982048574,-0.3814510851145608,0.3814510851145608,-0.1509096305219902,0.1509096305219902,9.5367431640625e-07,20,18,20,SR-MMP,diphemanil,1.674643788722086e-06,True,True,True,True,True,True,True,True,True,Correction,0.0902896375589847,0.0902896375589847,Diphemanil,False,4
LPMXVESGRSUGHW,1,0.073035550654525,0.6905537511287744,0.6175182004742493,0.6175182004742493,0.2698458018735317,0.7384746735865699,0.619376979936642,0.619376979936642,3.757557489306683,3.757557489306683,-2.1180763710607007,2.1180763710607007,9.5367431640625e-07,20,19,20,SR-MMP,ouabain,2.0069862479594217e-06,True,True,True,True,True,True,True,True,True,Rescue,0.6175182004742493,0.6175182004742493,Ouabain,False,4
LTMHDMANZUZIPE,1,0.0977738345341795,0.6266643804339338,0.5288905458997544,0.5288905458997544,0.1359237778006353,0.5910100437267061,0.4856388595564942,0.4856388595564942,2.766067322974924,2.766067322974924,-1.829796011650879,1.829796011650879,9.5367431640625e-07,20,20,20,SR-MMP,digoxin,2.0069862479594217e-06,True,True,True,True,True,True,True,True,True,Rescue,0.5288905458997544,0.5288905458997544,Digoxin,False,2
MDKGKXOCJGEUJW,0,0.4157330702077806,0.3369324628801254,-0.0788006073276551,0.0788006073276551,0.0341303609875127,0.0754273170319266,-0.0612460401267159,0.0612460401267159,-0.3406443602197768,0.3406443602197768,-0.1256563311307202,0.1256563311307202,9.5367431640625e-07,20,19,20,SR-MMP,suprofen,1.674643788722086e-06,True,True,True,True,True,True,True,True,True,Correction,0.0788006073276551,0.0788006073276551,Suprofen,False,13
MLDQJTXFUGDVEO,1,0.394928457842589,0.7676107564070093,0.3726822985644202,0.3726822985644202,0.1351785626321633,0.3947955974031438,0.0527983104540654,0.0527983104540654,1.7710918721510749,1.7710918721510749,-0.6473281319427271,0.6473281319427271,9.5367431640625e-07,20,19,20,SR-MMP,sorafenib,2.0069862479594217e-06,True,True,True,True,True,True,True,True,True,Rescue,0.3726822985644202,0.3726822985644202,Sorafenib,False,20
MYEJFUXQJGHEQK,1,0.1333629060115886,0.772951595219132,0.6395886892075434,0.6395886892075434,0.216584406510682,0.6988568204862654,0.3599788806758183,0.3599788806758183,3.5308785354759,3.5308785354759,-1.6984170813104598,1.6984170813104598,9.5367431640625e-07,20,20,20,SR-MMP,BRD-K11451237,2.0069862479594217e-06,True,True,True,True,True,True,True,True,True,Rescue,0.6395886892075434,0.6395886892075434,BRD-K11451237,False,17
NUHPODZZKHQQET,0,0.1272169649941339,0.1061949830161189,-0.021021981978015,0.021021981978015,0.0075341117934695,0.0208555270818538,-0.0495248152059134,0.0495248152059134,-0.206028800040848,0.206028800040848,-0.0237813928065694,0.0237813928065694,9.5367431640625e-07,20,13,20,SR-MMP,siguazodan,1.674643788722086e-06,False,True,True,True,False,False,False,False,False,Correction,0.021021981978015,0.021021981978015,Siguazodan,False,14
