ik,y,mean_probability_chem,mean_probability_chem_plus_bio,mean_delta_p,mean_aligned_delta_p,sd_aligned_delta_p,median_aligned_delta_p,mean_delta_rank,mean_aligned_delta_rank,mean_B,mean_aligned_B,mean_delta_log_loss,mean_log_loss_improvement,wilcoxon_p_aligned_delta_p,n_positive_direction,n_repeats_exceeding_threshold,n_repeats,task,drug_name,bh_q_rescue_correction,stable_min_repeats,selected_wilcoxon_only,magnitude_ok,selected,selected_q_lt_0.01,selected_q_lt_0.05,selected_q_lt_0.1,selected_q_lt_0.2,selected_previous
AFCGFAGUEYAMAO,0,0.0225396069658762,0.0170368114672543,-0.0055027954986218,0.0055027954986218,0.003886837108532,0.0054425653967777,-0.000790513833992,0.000790513833992,-0.3143113132151662,0.3143113132151662,-0.0056079969786623,0.0056079969786623,9.5367431640625e-07,20,0,20,NR-Aromatase,acamprosate,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
AFJYYKSVHJGXSN,0,0.1546277128588598,0.5797543410715602,0.4251266282127003,-0.4251266282127003,0.162512950175086,-0.4583624389961531,0.0352766798418972,-0.0352766798418972,2.060525651846539,-2.060525651846539,0.7778923867763343,-0.7778923867763343,1.0,0,0,20,NR-Aromatase,selamectin,1.0,False,False,False,False,False,False,False,False,False
AFNXATANNDIXLG,1,0.407447341187005,0.5914177215832802,0.1839703803962751,0.1839703803962751,0.0952686890964042,0.2093434619723156,-0.0052371541501976,-0.0052371541501976,0.7618548763908505,0.7618548763908505,-0.3573130515363184,0.3573130515363184,9.5367431640625e-07,20,17,20,NR-Aromatase,sulconazole,1.6472556374289773e-06,True,True,True,True,True,True,True,True,True
AFSOIHMEOKEZJF,0,0.0702685854797083,0.0661187940954403,-0.004149791384268,0.004149791384268,0.0031373298779611,0.003397748511421,-0.0093379446640316,0.0093379446640316,-0.0670146816023673,0.0670146816023673,-0.0044467610291093,0.0044467610291093,2.86102294921875e-06,19,0,20,NR-Aromatase,carmoxirole,6.242231889204546e-06,False,True,False,False,False,False,False,False,False
AGHANLSBXUWXTB,0,0.0935330067268867,0.0834461296596321,-0.0100868770672546,0.0100868770672546,0.0128266793426598,0.0087416269385625,-0.0824604743083003,0.0824604743083003,-0.1361229744762017,0.1361229744762017,-0.0109826228062947,0.0109826228062947,0.0015764236450195,14,4,20,NR-Aromatase,tienilic-acid,0.0024924536009092,False,True,False,False,False,False,False,False,False
AGMMTXLNIQSRCG,0,0.0417385521252021,0.0360369459428109,-0.0057016061823912,0.0057016061823912,0.0039056289957242,0.0063454203029354,0.0017292490118577,-0.0017292490118577,-0.1601312867162723,0.1601312867162723,-0.0059229121796677,0.0059229121796677,2.384185791015625e-05,18,0,20,NR-Aromatase,quinethazone,4.554281429368622e-05,False,True,False,False,False,False,False,False,False
AGOYDEPGAOXOCK,0,0.0969439520672265,0.0959009671585351,-0.0010429849086913,0.0010429849086913,0.010228085427488,0.0041260185378916,-0.0283102766798418,0.0283102766798418,-0.0170026986136408,0.0170026986136408,-0.0010904596258098,0.0010904596258098,0.0412750244140625,15,0,20,NR-Aromatase,BRD-K49668410,0.0574902125767299,False,False,False,False,False,False,False,False,False
AHLBNYSZXLDEJQ,0,0.0925632466831375,0.1135047072821459,0.0209414605990084,-0.0209414605990084,0.0106934841474174,-0.0247101366682589,0.0641798418972332,-0.0641798418972332,0.2216758847865016,-0.2216758847865016,0.023446573733047,-0.023446573733047,0.9999980926513672,1,0,20,NR-Aromatase,orlistat,1.0,False,False,False,False,False,False,False,False,False
AJLFOPYRIVGYMJ,1,0.1028960832198541,0.1943395014262998,0.0914434182064456,0.0914434182064456,0.0942626977252721,0.048648530203531,0.0765316205533597,0.0765316205533597,0.6551523685762538,0.6551523685762538,-0.5401481082932726,0.5401481082932726,9.5367431640625e-07,20,10,20,NR-Aromatase,mevastatin,1.6472556374289773e-06,False,True,True,True,False,False,False,False,False
AKNNEGZIBPJZJG,0,0.0828857844856949,0.0814524980770052,-0.0014332864086896,0.0014332864086896,0.0015877306413205,0.0014365615112036,-0.0034090909090909,0.0034090909090909,-0.0190818023999218,0.0190818023999218,-0.0015613828083221,0.0015613828083221,0.0006046295166015,17,0,20,NR-Aromatase,noscapine,0.0009981185670882,False,True,False,False,False,False,False,False,False
ALLWOAVDORUJLA,0,0.0441061443817647,0.042476485420508,-0.0016296589612567,0.0016296589612567,0.0032959997835292,0.0012593427324642,0.0652173913043478,-0.0652173913043478,-0.0403321618791928,0.0403321618791928,-0.0017017514488573,0.0017017514488573,0.0220270156860351,12,0,20,NR-Aromatase,rebamipide,0.0314287906739769,False,True,False,False,False,False,False,False,False
ALWKGYPQUAPLQC,0,0.070196464130982,0.0643544389568133,-0.0058420251741687,0.0058420251741687,0.0077738963074562,0.00384353981278,-0.0339426877470355,0.0339426877470355,-0.1007433891551949,0.1007433891551949,-0.0062339613594324,0.0062339613594324,0.0009927749633789,16,1,20,NR-Aromatase,neostigmine,0.0015966277761557,False,True,False,False,False,False,False,False,False
AMDBBAQNWSUWGN,0,0.0502519563752517,0.0501779708471861,-7.398552806558504e-05,7.398552806558504e-05,0.007956475975688,0.0025800252979519,0.0747529644268774,-0.0747529644268774,-0.0097042170327064,0.0097042170327064,-5.280049184971762e-05,5.280049184971762e-05,0.2045488357543945,14,0,20,NR-Aromatase,ioversol,0.2689012784636422,False,False,False,False,False,False,False,False,False
ANGKOCUUWGHLCE,0,0.0496707189836717,0.0424591870963121,-0.0072115318873595,0.0072115318873595,0.0060531383256143,0.0070990381069383,-0.0276679841897233,0.0276679841897233,-0.1685499399093941,0.1685499399093941,-0.0075545811161222,0.0075545811161222,3.147125244140625e-05,17,1,20,NR-Aromatase,glycopyrrolate,5.879659138753743e-05,False,True,False,False,False,False,False,False,False
ANMLJLFWUCQGKZ,0,0.0932185404656834,0.1027665506344086,0.0095480101687252,-0.0095480101687252,0.0112165175603466,-0.0061982127246184,0.0200098814229249,-0.0200098814229249,0.1005707691796895,-0.1005707691796895,0.0106984837035362,-0.0106984837035362,0.9986438751220704,6,0,20,NR-Aromatase,talniflumate,1.0,False,False,False,False,False,False,False,False,False
ANTSCNMPPGJYLG,0,0.0643299439898649,0.0557024298856141,-0.0086275141042508,0.0086275141042508,0.0099627814310018,0.0050327259581701,-0.0597826086956521,0.0597826086956521,-0.1676889531883907,0.1676889531883907,-0.0091454271719363,0.0091454271719363,2.86102294921875e-06,19,2,20,NR-Aromatase,chlordiazepoxide,6.242231889204546e-06,False,True,False,False,False,False,False,False,False
ANZXOIAKUNOVQU,0,0.0633071201226889,0.0628094704014259,-0.0004976497212629,0.0004976497212629,0.0134393641057516,0.0032449677998961,0.0294466403162055,-0.0294466403162055,-0.0239901380222175,0.0239901380222175,-0.0004502106014397,0.0004502106014397,0.0379257202148437,16,0,20,NR-Aromatase,bambuterol,0.0530619942019338,False,False,False,False,False,False,False,False,False
APKFDSVGJQXUKY,0,0.0961036237229583,0.101954551415193,0.0058509276922346,-0.0058509276922346,0.0153132332117804,-0.0048888379678657,-0.0005434782608695,0.0005434782608695,0.0557408607971269,-0.0557408607971269,0.0066430872384245,-0.0066430872384245,0.9336366653442384,7,0,20,NR-Aromatase,amphotericin-b,1.0,False,False,False,False,False,False,False,False,False
AQCHWTWZEMGIFD,0,0.0431709875100848,0.0376210098642826,-0.0055499776458021,0.0055499776458021,0.0034277324299909,0.0050276819931152,0.000494071146245,-0.000494071146245,-0.1435142147859973,0.1435142147859973,-0.0057846781092339,0.0057846781092339,9.5367431640625e-07,20,0,20,NR-Aromatase,metolazone,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
AQHHHDLHHXJYJD,0,0.0941670089858647,0.0834631666985146,-0.0107038422873501,0.0107038422873501,0.0048969107102747,0.0109817165367036,-0.0765810276679842,0.0765810276679842,-0.1332901067882042,0.1332901067882042,-0.0117442250439567,0.0117442250439567,9.5367431640625e-07,20,1,20,NR-Aromatase,BRD-K13994703,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
AQIXAKUUQRKLND,0,0.0676054063814296,0.0553789306571863,-0.0122264757242432,0.0122264757242432,0.0088283181587771,0.0110376063965117,-0.1056818181818181,0.1056818181818181,-0.2146451720140917,0.2146451720140917,-0.0130270018888804,0.0130270018888804,9.5367431640625e-07,20,3,20,NR-Aromatase,cimetidine,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
AQNDDEOPVVGCPG,0,0.0668744952063529,0.0632267244068754,-0.0036477707994774,0.0036477707994774,0.0059384818615252,0.0055178890585327,-0.0050889328063241,0.0050889328063241,-0.0622472151152236,0.0622472151152236,-0.0038918682461078,0.0038918682461078,0.0076560974121093,17,0,20,NR-Aromatase,esmolol,0.011429198050613,False,True,False,False,False,False,False,False,False
ARFHIAQFJWUCFH,0,0.0353946382421329,0.032993230587363,-0.0024014076547698,0.0024014076547698,0.0024001038811328,0.00248796429064,0.0356225296442687,-0.0356225296442687,-0.0746656827409198,0.0746656827409198,-0.0024845683120721,0.0024845683120721,0.0002412796020507,18,0,20,NR-Aromatase,nifurtimox,0.000418217976888,False,True,False,False,False,False,False,False,False
ASUTZQLVASHGKV,0,0.063175219424352,0.055753156825601,-0.007422062598751,0.007422062598751,0.0053855363756862,0.0071449381497879,-0.0457509881422924,0.0457509881422924,-0.1383417886420591,0.1383417886420591,-0.0078731600920964,0.0078731600920964,8.392333984375e-05,19,0,20,NR-Aromatase,galantamine,0.0001501954992232,False,True,False,False,False,False,False,False,False
ASWVTGNCAZCNNR,0,0.0415211313820321,0.0432776901154919,0.0017565587334597,-0.0017565587334597,0.0049949572532011,-1.273941224975289e-05,0.1096837944664031,-0.1096837944664031,0.0370219444199562,-0.0370219444199562,0.0018499783311645,-0.0018499783311645,0.7391633987426758,10,0,20,NR-Aromatase,sulfadimidine,0.918800718755836,False,False,False,False,False,False,False,False,False
ATCGGEJZONJOCL,0,0.1501524567301944,0.1404474391314499,-0.0097050175987445,0.0097050175987445,0.0056324573273198,0.0095324451638383,-0.0490612648221343,0.0490612648221343,-0.0777246043329636,0.0777246043329636,-0.0113813219499615,0.0113813219499615,1.9073486328125e-06,19,0,20,NR-Aromatase,irsogladine,4.354337366615853e-06,False,True,False,False,False,False,False,False,False
AUNGANRZJHBGPY,0,0.0507078837256217,0.0457531302885047,-0.004954753437117,0.004954753437117,0.0028743550808186,0.0047395821667002,0.0107707509881422,-0.0107707509881422,-0.1084543942118223,0.1084543942118223,-0.0052056726458319,0.0052056726458319,1.9073486328125e-06,19,0,20,NR-Aromatase,riboflavin,4.354337366615853e-06,False,True,False,False,False,False,False,False,False
AUVVAXYIELKVAI,1,0.0721932451392132,0.2971728248857325,0.2249795797465192,0.2249795797465192,0.1757439343135842,0.2087874718612526,0.3406126482213439,0.3406126482213439,1.58108850777643,1.58108850777643,-1.2562781440216635,1.2562781440216635,9.5367431640625e-07,20,19,20,NR-Aromatase,BRD-K65200617,1.6472556374289773e-06,True,True,True,True,True,True,True,True,True
AUYYCJSJGJYCDS,0,0.0761579743841771,0.0761600895262804,2.115142103280288e-06,-2.115142103280288e-06,0.008861936764822,0.0017302906040543,0.0115118577075098,-0.0115118577075098,-0.0069586239281705,0.0069586239281705,5.365049121650312e-05,-5.365049121650312e-05,0.3107566833496094,13,0,20,NR-Aromatase,rathyronine,0.4034233781071211,False,False,False,False,False,False,False,False,False
AVKUERGKIZMTKX,0,0.0345482083562269,0.0283121386434724,-0.0062360697127544,0.0062360697127544,0.0042267412765796,0.0059480846472565,-0.0012351778656126,0.0012351778656126,-0.2142230802538706,0.2142230802538706,-0.0064326943286715,0.0064326943286715,1.9073486328125e-06,19,0,20,NR-Aromatase,ampicillin,4.354337366615853e-06,False,True,False,False,False,False,False,False,False
AXRCEOKUDYDWLF,0,0.0795035927363327,0.0867567410818966,0.0072531483455638,-0.0072531483455638,0.0072324253786482,-0.0084555544417729,0.0621047430830039,-0.0621047430830039,0.0923440589129455,-0.0923440589129455,0.0079379524142698,-0.0079379524142698,0.9997072219848632,3,0,20,NR-Aromatase,enzastaurin,1.0,False,False,False,False,False,False,False,False,False
AYIRNRDRBQJXIF,0,0.0505224631502362,0.0735560113471092,0.0230335481968729,-0.0230335481968729,0.0298193995045655,-0.0130340967310391,0.2728754940711462,-0.2728754940711462,0.3333400262053515,-0.3333400262053515,0.0250747791879824,-0.0250747791879824,0.9998388290405272,3,0,20,NR-Aromatase,florfenicol,1.0,False,False,False,False,False,False,False,False,False
AZFBLLCNOQPJGJ,0,0.0976418145922317,0.1084151432736713,0.0107733286814396,-0.0107733286814396,0.0098726228011197,-0.012138640917225,0.0183300395256917,-0.0183300395256917,0.1146948783537545,-0.1146948783537545,0.012044038410626,-0.012044038410626,0.9998693466186525,3,0,20,NR-Aromatase,rifabutin,1.0,False,False,False,False,False,False,False,False,False
AZSNMRSAGSSBNP,0,0.1718980743574699,0.6293542463724138,0.4574561720149439,-0.4574561720149439,0.1587052969231016,-0.5071253971393861,0.025790513833992,-0.025790513833992,2.158399240448856,-2.158399240448856,0.8981421144812023,-0.8981421144812023,1.0,0,0,20,NR-Aromatase,ivermectin,1.0,False,False,False,False,False,False,False,False,False
BAFKRPOFIYPKBQ,0,0.1818792007165658,0.1295373777917215,-0.0523418229248443,0.0523418229248443,0.0502810825288127,0.048540677740134,-0.1845355731225296,0.1845355731225296,-0.5025138854660158,0.5025138854660158,-0.0604292314415156,0.0604292314415156,4.100799560546875e-05,17,12,20,NR-Aromatase,TCPOBOP,7.555803914708416e-05,False,True,True,False,False,False,False,False,False
BAMTVATUENLIOP,0,0.0593224345366222,0.0608140640829309,0.0014916295463087,-0.0014916295463087,0.0091988572226649,0.0006625479901251,0.0696146245059288,-0.0696146245059288,0.01409347227383,-0.01409347227383,0.0016392359251486,-0.0016392359251486,0.5218353271484375,12,0,20,NR-Aromatase,lymecycline,0.6636384051779042,False,False,False,False,False,False,False,False,False
BAQCROVBDNBEEB,0,0.0516113945783328,0.0424371139388409,-0.0091742806394919,0.0091742806394919,0.004331136703204,0.0089530744052431,-0.0572134387351778,0.0572134387351778,-0.2110875143151181,0.2110875143151181,-0.0096202980678419,0.0096202980678419,9.5367431640625e-07,20,0,20,NR-Aromatase,metrizamide,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
BCEHBSKCWLPMDN,0,0.3585700868328528,0.3113223456957294,-0.0472477411371234,0.0472477411371234,0.030158465917483,0.0389714528904507,-0.0221343873517787,0.0221343873517787,-0.2150513941298259,0.2150513941298259,-0.0705593125948996,0.0705593125948996,9.5367431640625e-07,20,17,20,NR-Aromatase,voriconazole,2.4190763147865854e-06,True,True,True,True,True,True,True,True,True
BCGWQEUPMDMJNV,0,0.083446436491044,0.0697965478449651,-0.0136498886460789,0.0136498886460789,0.0078111420330953,0.0122772502639934,-0.1103754940711462,0.1103754940711462,-0.199098907827065,0.199098907827065,-0.0147604614222878,0.0147604614222878,9.5367431640625e-07,20,3,20,NR-Aromatase,imipramine,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
BDNFQGRSKSQXRI,0,0.0686901437871181,0.060832777454562,-0.0078573663325561,0.0078573663325561,0.0075937521890521,0.008557171773906,-0.0616106719367588,0.0616106719367588,-0.1406389499220742,0.1406389499220742,-0.0083429737282964,0.0083429737282964,0.0003538131713867,19,0,20,NR-Aromatase,zamifenacin,0.0005977782101407,False,True,False,False,False,False,False,False,False
BDYYDXJSHYEDGB,0,0.0767838012275179,0.0757373157191765,-0.0010464855083413,0.0010464855083413,0.0097169355535022,0.0036792412835243,0.0033102766798419,-0.0033102766798419,-0.0201522332710949,0.0201522332710949,-0.0010936726852198,0.0010936726852198,0.1744050979614257,13,0,20,NR-Aromatase,diloxanide,0.2315505981445312,False,False,False,False,False,False,False,False,False
BEZZFPOZAYTVHN,0,0.0763761286763544,0.1209657508716139,0.0445896221952595,-0.0445896221952595,0.0264800087573697,-0.050902892590164,0.1934288537549407,-0.1934288537549407,0.4797354804084633,-0.4797354804084633,0.0500026490905499,-0.0500026490905499,1.0,0,0,20,NR-Aromatase,oxfendazole,1.0,False,False,False,False,False,False,False,False,False
BFPSDSIWYFKGBC,1,0.1647265898660102,0.2474236864822639,0.0826970966162537,0.0826970966162537,0.0585162507616029,0.0532100289810237,-0.0074110671936758,-0.0074110671936758,0.487754505253784,0.487754505253784,-0.3803248686277792,0.3803248686277792,9.5367431640625e-07,20,11,20,NR-Aromatase,chlorotrianisene,1.6472556374289773e-06,False,True,True,True,False,False,False,False,False
BFPYWIDHMRZLRN,0,0.0773652591333191,0.0783495992151214,0.0009843400818023,-0.0009843400818023,0.0035918092598291,0.000797336870163,0.0251482213438735,-0.0251482213438735,0.012817624326565,-0.012817624326565,0.0010744058354942,-0.0010744058354942,0.649409294128418,13,0,20,NR-Aromatase,BRD-K48195008,0.8169987893873646,False,False,False,False,False,False,False,False,False
BFUJHVVEMMWLHC,1,0.0653252562299539,0.0580041311013488,-0.007321125128605,-0.007321125128605,0.0047009033261687,-0.0059671613877782,-0.0402173913043478,-0.0402173913043478,-0.1256435973285608,-0.1256435973285608,0.1178345981956183,-0.1178345981956183,1.0,0,0,20,NR-Aromatase,fipexide,1.0,False,False,False,False,False,False,False,False,False
BFYIZQONLCFLEV,1,0.0627265203482896,0.0656389830198835,0.0029124626715938,0.0029124626715938,0.0067653772318232,0.0008277436521159,0.0787055335968379,0.0787055335968379,0.045573096501626,0.045573096501626,-0.042443504046111,0.042443504046111,0.0884265899658203,12,0,20,NR-Aromatase,exemestane,0.1268003931585348,False,False,False,False,False,False,False,False,False
BGDKAVGWHJFAGW,1,0.0875615026342828,0.0728567187566636,-0.0147047838776192,-0.0147047838776192,0.0064511181873848,-0.0166101791788654,-0.1090909090909091,-0.1090909090909091,-0.2005949333210102,-0.2005949333210102,0.1846058596947026,-0.1846058596947026,1.0,0,0,20,NR-Aromatase,tropicamide,1.0,False,False,False,False,False,False,False,False,False
BGNXCDMCOKJUMV,1,0.0738236091856423,0.0700403128973753,-0.0037832962882669,-0.0037832962882669,0.0175996324195207,-0.0071717404743543,-0.0277173913043478,-0.0277173913043478,-0.0719972421078825,-0.0719972421078825,0.068053313252483,-0.068053313252483,0.9993953704833984,2,1,20,NR-Aromatase,tert-butylhydroquinone,1.0,False,False,False,False,False,False,False,False,False
BGRJTUBHPOOWDU,0,0.0350564395589672,0.03346551478665,-0.0015909247723172,0.0015909247723172,0.0034839284608359,0.0008568666417801,0.0489130434782608,-0.0489130434782608,-0.0507731242263695,0.0507731242263695,-0.0016443966735366,0.0016443966735366,0.0448474884033203,12,0,20,NR-Aromatase,levosulpiride,0.0620965224045973,False,False,False,False,False,False,False,False,False
BGSZAXLLHYERSY,0,0.040278630636223,0.0340929572925621,-0.0061856733436609,0.0061856733436609,0.0033584348113734,0.0065610141276604,-0.008695652173913,0.008695652173913,-0.1742638866741959,0.1742638866741959,-0.0064241766233611,0.0064241766233611,9.5367431640625e-07,20,0,20,NR-Aromatase,vecuronium,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
BGYJFSXPRMOZJK,1,0.0937765306547473,0.3287186802005929,0.2349421495458455,0.2349421495458455,0.1417375419898067,0.2188000028797672,0.1672924901185771,0.1672924901185771,1.4745835850018092,1.4745835850018092,-1.1511116488012183,1.1511116488012183,9.5367431640625e-07,20,19,20,NR-Aromatase,lacidipine,1.6472556374289773e-06,True,True,True,True,True,True,True,True,True
BHQCQFFYRZLCQQ,0,0.0520727387539303,0.037696396317473,-0.0143763424364573,0.0143763424364573,0.009190675202267,0.0134807513398771,-0.1303359683794466,0.1303359683794466,-0.3575814048992445,0.3575814048992445,-0.0150287704390089,0.0150287704390089,9.5367431640625e-07,20,6,20,NR-Aromatase,cholic-acid,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
BIDNLKIUORFRQP,0,0.0694680750159714,0.0582826612572062,-0.0111854137587652,0.0111854137587652,0.0032616034690829,0.0103103384029325,-0.0942193675889328,0.0942193675889328,-0.1892371840095564,0.1892371840095564,-0.0119456008435624,0.0119456008435624,9.5367431640625e-07,20,1,20,NR-Aromatase,fosinopril,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
BJFIDCADFRDPIO,0,0.0325572883236605,0.0211285927018907,-0.0114286956217697,0.0114286956217697,0.0101988983173186,0.0126172417733827,-0.0004446640316205,0.0004446640316205,-0.5894416855894928,0.5894416855894928,-0.0116883095653575,0.0116883095653575,0.0004253387451171,14,5,20,NR-Aromatase,lypressin,0.0007147523616331,False,True,False,False,False,False,False,False,False
BJRNKVDFDLYUGJ,0,0.0520587501837651,0.0479173966125789,-0.0041413535711861,0.0041413535711861,0.0014074801884604,0.0043266599037346,0.0180335968379446,-0.0180335968379446,-0.0869133128043044,0.0869133128043044,-0.0043620566300872,0.0043620566300872,9.5367431640625e-07,20,0,20,NR-Aromatase,arbutin,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
BKYKPTRYDKTTJY,0,0.0359891735878955,0.0344666997293514,-0.001522473858544,0.001522473858544,0.0024747661543638,0.0018807609512193,0.0499505928853755,-0.0499505928853755,-0.0460372069235176,0.0460372069235176,-0.0015768532763382,0.0015768532763382,0.0031948089599609,18,0,20,NR-Aromatase,cyclopenthiazide,0.004934556413405,False,True,False,False,False,False,False,False,False
BLCLNMBMMGCOAS,0,0.0403617782728468,0.0328438643849509,-0.0075179138878958,0.0075179138878958,0.0024404551729852,0.0080042632258839,-0.0254446640316205,0.0254446640316205,-0.2130456050286498,0.2130456050286498,-0.0078066673689232,0.0078066673689232,9.5367431640625e-07,20,0,20,NR-Aromatase,goserelin,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
BLGXFZZNTVWLAY,0,0.0643140881988975,0.0612472920308357,-0.0030667961680618,0.0030667961680618,0.0039626144750859,0.0040912123609265,0.0098320158102766,-0.0098320158102766,-0.0549716022482115,0.0549716022482115,-0.0032601859141542,0.0032601859141542,0.0036478042602539,16,0,20,NR-Aromatase,corynanthine,0.0055881256752825,False,True,False,False,False,False,False,False,False
BLJRIMJGRPQVNF,0,0.0454596119527647,0.0376455794821755,-0.0078140324705891,0.0078140324705891,0.0036379971841131,0.0071276084493616,-0.0320158102766798,0.0320158102766798,-0.2020465911721989,0.2020465911721989,-0.0081470562437664,0.0081470562437664,9.5367431640625e-07,20,0,20,NR-Aromatase,timolol,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
BMKDZUISNHGIBY,0,0.0208901387201029,0.0212305299932618,0.0003403912731589,-0.0003403912731589,0.0051343710395128,-0.001189093889313,0.0186264822134387,-0.0186264822134387,-0.0140525157727974,0.0140525157727974,0.000359403554933,-0.000359403554933,0.7738122940063477,7,0,20,NR-Aromatase,razoxane,0.9542665443872744,False,False,False,False,False,False,False,False,False
BMUKKTUHUDJSNZ,0,0.0633403307233896,0.0554155516566965,-0.0079247790666931,0.0079247790666931,0.0047679822603218,0.0089116240016135,-0.0493083003952569,0.0493083003952569,-0.1458178769441424,0.1458178769441424,-0.008412027096456,0.008412027096456,4.76837158203125e-06,18,0,20,NR-Aromatase,isoxsuprine,9.918212890625e-06,False,True,False,False,False,False,False,False,False
BNRNXUUZRGQAQC,0,0.0429092799159281,0.0435305733077653,0.0006212933918371,-0.0006212933918371,0.0018837272727181,-2.1131335877552088e-05,0.0943675889328063,-0.0943675889328063,0.0126487642392662,-0.0126487642392662,0.0006544328517337,-0.0006544328517337,0.8350086212158203,10,0,20,NR-Aromatase,sildenafil,1.0,False,False,False,False,False,False,False,False,False
