Family,Tox21 endpoint,Cell line,Cohort,Exposure,Dose window (uM),Total compounds,Labeled,Active,Inactive,Missing,Active (%),Outer-train N,Outer-test N,Outer-test active,Minimum test actives,Analysis status
SR,SR-MMP,HT29,Primary 6 h,6,8-12,1005,717,121,596,288,16.875871687587168,467-666,51-250,6-39,6.0,Confirmatory-eligible
SR,SR-MMP,MCF7,Primary 6 h,6,8-12,1332,958,143,815,374,14.926931106471816,610-904,54-348,8-54,8.0,Confirmatory-eligible
SR,SR-p53,HA1E,Primary 6 h,6,8-12,1012,884,89,795,128,10.06787330316742,587-802,82-297,6-30,6.0,Confirmatory-eligible
SR,SR-p53,HepG2,Primary 6 h,6,8-12,695,603,64,539,92,10.613598673300165,407-541,62-196,5-25,5.0,Confirmatory-eligible
SR,SR-p53,HT29,Primary 6 h,6,8-12,1005,877,85,792,128,9.692132269099202,588-791,86-289,4-32,4.0,Confirmatory-eligible
SR,SR-p53,MCF7,Primary 6 h,6,8-12,1332,1158,100,1058,174,8.635578583765112,755-1066,92-403,4-34,4.0,Confirmatory-eligible
SR,SR-ARE,HA1E,Paired 6/24 h,6 and 24,8-12,861,584,118,466,277,20.205479452054796,377-537,47-207,11-40,11.0,Confirmatory-eligible
SR,SR-ARE,HepG2,Paired 6/24 h,6 and 24,8-12,46,26,15,11,20,57.692307692307686,-,-,-,,Excluded
SR,SR-ARE,HT29,Paired 6/24 h,6 and 24,8-12,606,416,80,336,190,19.230769230769234,280-383,33-136,6-29,6.0,Confirmatory-eligible
SR,SR-ARE,MCF7,Paired 6/24 h,6 and 24,8-12,1316,913,159,754,403,17.41511500547645,588-857,56-325,7-58,7.0,Confirmatory-eligible
SR,SR-ATAD5,HA1E,Paired 6/24 h,6 and 24,8-12,861,778,43,735,83,5.526992287917738,525-700,78-253,2-18,2.0,Confirmatory-eligible
SR,SR-ATAD5,HepG2,Paired 6/24 h,6 and 24,8-12,46,33,6,27,13,18.181818181818183,-,-,-,,Excluded
SR,SR-ATAD5,HT29,Paired 6/24 h,6 and 24,8-12,606,544,30,514,62,5.514705882352941,372-485,59-172,2-15,2.0,Confirmatory-eligible
SR,SR-ATAD5,MCF7,Paired 6/24 h,6 and 24,8-12,1316,1180,55,1125,136,4.661016949152542,764-1077,103-416,3-22,3.0,Confirmatory-eligible
SR,SR-HSE,HA1E,Paired 6/24 h,6 and 24,8-12,861,697,43,654,164,6.169296987087518,469-631,66-228,2-17,2.0,Confirmatory-eligible
SR,SR-HSE,HepG2,Paired 6/24 h,6 and 24,8-12,46,36,6,30,10,16.666666666666664,-,-,-,,Excluded
SR,SR-HSE,HT29,Paired 6/24 h,6 and 24,8-12,606,498,31,467,108,6.2248995983935735,335-447,51-163,2-12,2.0,Confirmatory-eligible
SR,SR-HSE,MCF7,Paired 6/24 h,6 and 24,8-12,1316,1065,62,1003,251,5.821596244131456,682-987,78-383,3-28,3.0,Confirmatory-eligible
SR,SR-MMP,HA1E,Paired 6/24 h,6 and 24,8-12,861,613,111,502,248,18.107667210440457,395-569,44-218,3-44,3.0,Confirmatory-eligible
SR,SR-MMP,HepG2,Paired 6/24 h,6 and 24,8-12,46,29,19,10,17,65.51724137931035,-,-,-,,Excluded
SR,SR-MMP,HT29,Paired 6/24 h,6 and 24,8-12,606,430,61,369,176,14.186046511627906,280-395,35-150,4-23,4.0,Confirmatory-eligible
SR,SR-MMP,MCF7,Paired 6/24 h,6 and 24,8-12,1316,947,141,806,369,14.889123548046463,604-892,55-343,6-52,6.0,Confirmatory-eligible
SR,SR-p53,HA1E,Paired 6/24 h,6 and 24,8-12,861,757,76,681,104,10.039630118890356,509-693,64-248,5-26,5.0,Confirmatory-eligible
SR,SR-p53,HepG2,Paired 6/24 h,6 and 24,8-12,46,38,15,23,8,39.473684210526315,-,-,-,,Excluded
SR,SR-p53,HT29,Paired 6/24 h,6 and 24,8-12,606,533,57,476,73,10.694183864915573,362-477,56-171,3-20,3.0,Confirmatory-eligible
SR,SR-p53,MCF7,Paired 6/24 h,6 and 24,8-12,1316,1142,98,1044,174,8.581436077057793,735-1055,87-407,4-34,4.0,Confirmatory-eligible
