family,task,cell_line,exposure_h,dose_window_uM,paired_cohort_n_total,n_labeled,n_positive,n_negative,n_missing,active_class_prevalence_percent,outer_train_n_range,outer_test_n_range,outer_test_positive_range,minimum_outer_test_positives,eligibility
SR,SR-ARE,MCF7,6 and 24,8-12,1316,913,159,754,403,17.41511500547645,588-857,56-325,7-58,7,Confirmatory-eligible
SR,SR-ATAD5,HA1E,6 and 24,8-12,861,778,43,735,83,5.526992287917738,525-700,78-253,2-18,2,Confirmatory-eligible
SR,SR-ATAD5,HEPG2,6 and 24,8-12,46,33,6,27,13,18.181818181818183,-,-,-,,Excluded
SR,SR-ATAD5,HT29,6 and 24,8-12,606,544,30,514,62,5.514705882352941,372-485,59-172,2-15,2,Confirmatory-eligible
SR,SR-ATAD5,MCF7,6 and 24,8-12,1316,1180,55,1125,136,4.661016949152542,764-1077,103-416,3-22,3,Confirmatory-eligible
SR,SR-HSE,HA1E,6 and 24,8-12,861,697,43,654,164,6.169296987087518,469-631,66-228,2-17,2,Confirmatory-eligible
SR,SR-HSE,HEPG2,6 and 24,8-12,46,36,6,30,10,16.666666666666668,-,-,-,,Excluded
SR,SR-HSE,HT29,6 and 24,8-12,606,498,31,467,108,6.224899598393574,335-447,51-163,2-12,2,Confirmatory-eligible
SR,SR-HSE,MCF7,6 and 24,8-12,1316,1065,62,1003,251,5.821596244131455,682-987,78-383,3-28,3,Confirmatory-eligible
SR,SR-MMP,HA1E,6 and 24,8-12,861,613,111,502,248,18.107667210440457,395-569,44-218,3-44,3,Confirmatory-eligible
SR,SR-MMP,HEPG2,6 and 24,8-12,46,29,19,10,17,65.51724137931035,-,-,-,,Excluded
SR,SR-MMP,HT29,6 and 24,8-12,606,430,61,369,176,14.186046511627907,280-395,35-150,4-23,4,Confirmatory-eligible
SR,SR-MMP,MCF7,6 and 24,8-12,1316,947,141,806,369,14.889123548046463,604-892,55-343,6-52,6,Confirmatory-eligible
SR,SR-p53,HA1E,6 and 24,8-12,861,757,76,681,104,10.039630118890356,509-693,64-248,5-26,5,Confirmatory-eligible
SR,SR-p53,HEPG2,6 and 24,8-12,46,38,15,23,8,39.473684210526315,-,-,-,,Excluded
SR,SR-p53,HT29,6 and 24,8-12,606,533,57,476,73,10.694183864915573,362-477,56-171,3-20,3,Confirmatory-eligible
SR,SR-p53,MCF7,6 and 24,8-12,1316,1142,98,1044,174,8.581436077057793,735-1055,87-407,4-34,4,Confirmatory-eligible
