family,task,cell_line,exposure_h,dose_window_uM,n_total_compounds,n_labeled,n_positive,n_negative,n_missing,active_class_prevalence_percent,outer_train_n_range,outer_test_n_range,outer_test_positive_range,minimum_outer_test_positives,eligibility
NR,NR-PPAR-gamma,MCF7,6,8-12,1332,1073,34,1039,259,3.168685927306617,687-1004,69-386,2-12,2,Confirmatory-eligible
SR,SR-ARE,HA1E,6,8-12,1012,690,136,554,322,19.71014492753623,448-640,50-242,9-46,9,Confirmatory-eligible
SR,SR-ARE,HEPG2,6,8-12,695,451,98,353,244,21.72949002217295,302-421,30-149,6-34,6,Confirmatory-eligible
SR,SR-ARE,HT29,6,8-12,1005,682,129,553,323,18.914956011730204,443-633,49-239,8-46,8,Confirmatory-eligible
SR,SR-ARE,MCF7,6,8-12,1332,923,160,763,409,17.33477789815818,579-874,49-344,6-58,6,Confirmatory-eligible
SR,SR-ATAD5,HA1E,6,8-12,1012,911,50,861,101,5.48847420417124,604-828,83-307,3-20,3,Confirmatory-eligible
SR,SR-ATAD5,HEPG2,6,8-12,695,619,33,586,76,5.331179321486268,427-557,62-192,2-15,2,Confirmatory-eligible
SR,SR-ATAD5,HT29,6,8-12,1005,903,50,853,102,5.537098560354374,601-818,85-302,3-20,3,Confirmatory-eligible
SR,SR-ATAD5,MCF7,6,8-12,1332,1196,57,1139,136,4.765886287625418,770-1102,94-426,4-23,4,Confirmatory-eligible
SR,SR-HSE,HA1E,6,8-12,1012,814,52,762,198,6.388206388206388,544-744,70-270,2-20,2,Confirmatory-eligible
SR,SR-HSE,HEPG2,6,8-12,695,547,30,517,148,5.484460694698354,367-495,52-180,2-13,2,Confirmatory-eligible
SR,SR-HSE,HT29,6,8-12,1005,806,50,756,199,6.20347394540943,530-737,69-276,2-21,2,Confirmatory-eligible
SR,SR-HSE,MCF7,6,8-12,1332,1077,64,1013,255,5.942432683379758,696-1003,74-381,2-26,2,Confirmatory-eligible
SR,SR-MMP,HA1E,6,8-12,1012,723,129,594,289,17.842323651452283,463-671,52-260,6-48,6,Confirmatory-eligible
SR,SR-MMP,HEPG2,6,8-12,695,495,102,393,200,20.606060606060606,321-457,38-174,6-38,6,Confirmatory-eligible
SR,SR-MMP,HT29,6,8-12,1005,717,121,596,288,16.875871687587168,467-666,51-250,6-45,6,Confirmatory-eligible
SR,SR-MMP,MCF7,6,8-12,1332,958,143,815,374,14.926931106471816,610-903,55-348,6-54,6,Confirmatory-eligible
SR,SR-p53,HA1E,6,8-12,1012,884,89,795,128,10.06787330316742,587-805,79-297,5-30,5,Confirmatory-eligible
SR,SR-p53,HEPG2,6,8-12,695,603,64,539,92,10.613598673300165,407-544,59-196,4-26,4,Confirmatory-eligible
SR,SR-p53,HT29,6,8-12,1005,877,85,792,128,9.692132269099202,594-799,78-283,7-27,7,Confirmatory-eligible
SR,SR-p53,MCF7,6,8-12,1332,1158,100,1058,174,8.635578583765112,755-1073,85-403,4-34,4,Confirmatory-eligible
