Family,Tox21 endpoint,Cell line,Compounds,Panel A Δlog loss ± SD,Panel A ΔAUPRC (D0−C0) ± SD,Panel A NB 95% CI,Panel A P,Panel A BH q,Panel B ΔAUPRC ± SD,Panel B NB 95% CI,Panel B P,Panel B BH q
NR,NR-ER,HT29,799,-0.1785 ± 0.0069,+0.0000 ± 0.0000,"[-0.2198, -0.1372]",1.34e-13,3.22e-13,+0.0765 ± 0.0121,"[+0.0059, +0.1470]",0.0339,0.2033
NR,NR-ER,MCF7,1067,-0.1919 ± 0.0090,+0.0000 ± 0.0000,"[-0.2355, -0.1482]",6.78e-14,1.16e-13,+0.0629 ± 0.0159,"[+0.0046, +0.1212]",0.0348,0.1392
NR,NR-ER-LBD,HA1E,907,-0.2225 ± 0.0045,+0.0000 ± 0.0000,"[-0.2599, -0.1852]",1.2e-20,7.22e-20,+0.1527 ± 0.0363,"[+0.0215, +0.2840]",0.023,0.1396
NR,NR-ER-LBD,HEPG2,620,-0.2236 ± 0.0047,+0.0000 ± 0.0000,"[-0.2638, -0.1834]",6.16e-19,3.69e-18,+0.1266 ± 0.0462,"[-0.0086, +0.2617]",0.0662,0.2674
NR,NR-ER-LBD,HT29,902,-0.2219 ± 0.0049,+0.0000 ± 0.0000,"[-0.2612, -0.1827]",2.41e-19,2.89e-18,+0.1547 ± 0.0293,"[+0.0227, +0.2868]",0.0221,0.2033
NR,NR-ER-LBD,MCF7,1194,-0.2369 ± 0.0043,+0.0000 ± 0.0000,"[-0.2730, -0.2009]",3.25e-23,3.9e-22,+0.1309 ± 0.0431,"[-0.0039, +0.2657]",0.0568,0.1705
NR,NR-PPAR-gamma,HA1E,811,-0.1026 ± 0.0040,+0.0000 ± 0.0000,"[-0.1290, -0.0763]",9.47e-12,1.62e-11,+0.0211 ± 0.0289,"[-0.0744, +0.1166]",0.6624,0.9372
NR,NR-PPAR-gamma,HEPG2,552,-0.1099 ± 0.0060,+0.0000 ± 0.0000,"[-0.1460, -0.0738]",2.67e-08,4.58e-08,+0.0595 ± 0.0381,"[-0.0532, +0.1721]",0.2976,0.7142
NR,NR-PPAR-gamma,HT29,803,-0.1077 ± 0.0069,+0.0000 ± 0.0000,"[-0.1401, -0.0754]",2.02e-09,3.47e-09,+0.0382 ± 0.0202,"[-0.0414, +0.1179]",0.3433,0.7071
NR,NR-PPAR-gamma,MCF7,1073,-0.1184 ± 0.0046,+0.0000 ± 0.0000,"[-0.1403, -0.0965]",2.9e-18,6.95e-18,+0.0483 ± 0.0308,"[-0.0831, +0.1797]",0.4673,0.801
SR,SR-ARE,HA1E,690,-0.0736 ± 0.0078,+0.0000 ± 0.0000,"[-0.1122, -0.0350]",0.000262,0.000285,-0.0154 ± 0.0179,"[-0.0684, +0.0375]",0.565,0.9372
SR,SR-ARE,HEPG2,451,-0.0648 ± 0.0088,+0.0000 ± 0.0000,"[-0.1055, -0.0240]",0.0021,0.0023,-0.0299 ± 0.0208,"[-0.0998, +0.0400]",0.3984,0.7968
SR,SR-ARE,HT29,682,-0.0829 ± 0.0058,+0.0000 ± 0.0000,"[-0.1181, -0.0476]",9.7e-06,1.16e-05,-0.0170 ± 0.0178,"[-0.0672, +0.0332]",0.5041,0.7836
SR,SR-ARE,MCF7,923,-0.0843 ± 0.0094,+0.0000 ± 0.0000,"[-0.1238, -0.0449]",4.89e-05,5.34e-05,+0.0010 ± 0.0190,"[-0.0551, +0.0572]",0.9713,0.9713
SR,SR-ATAD5,HA1E,911,-0.0563 ± 0.0025,+0.0000 ± 0.0000,"[-0.0759, -0.0367]",1.3e-07,1.95e-07,-0.0371 ± 0.0325,"[-0.1425, +0.0683]",0.4862,0.9372
SR,SR-ATAD5,HEPG2,619,-0.0600 ± 0.0029,+0.0000 ± 0.0000,"[-0.0831, -0.0368]",1.34e-06,1.79e-06,+0.0029 ± 0.0379,"[-0.1032, +0.1090]",0.9571,0.9935
SR,SR-ATAD5,HT29,903,-0.0554 ± 0.0038,+0.0000 ± 0.0000,"[-0.0773, -0.0334]",2.46e-06,3.28e-06,+0.0105 ± 0.0246,"[-0.0773, +0.0983]",0.8128,0.8275
SR,SR-ATAD5,MCF7,1196,-0.0639 ± 0.0038,+0.0000 ± 0.0000,"[-0.0851, -0.0428]",3.28e-08,4.91e-08,+0.0125 ± 0.0262,"[-0.0541, +0.0791]",0.7112,0.9695
SR,SR-HSE,HA1E,814,-0.2527 ± 0.0050,+0.0000 ± 0.0000,"[-0.2937, -0.2117]",1.6900000000000001e-21,2.03e-20,+0.0880 ± 0.0374,"[-0.0218, +0.1977]",0.1149,0.3447
SR,SR-HSE,HEPG2,547,-0.2694 ± 0.0081,+0.0000 ± 0.0000,"[-0.3162, -0.2226]",9.3e-20,1.12e-18,+0.1170 ± 0.0358,"[-0.0182, +0.2522]",0.0891,0.2674
SR,SR-HSE,HT29,806,-0.2482 ± 0.0088,+0.0000 ± 0.0000,"[-0.2985, -0.1979]",3.18e-16,1.91e-15,+0.1009 ± 0.0222,"[-0.0178, +0.2196]",0.0947,0.2841
SR,SR-HSE,MCF7,1077,-0.2545 ± 0.0075,+0.0000 ± 0.0000,"[-0.2960, -0.2130]",2.2500000000000002e-21,8.99e-21,+0.1298 ± 0.0306,"[+0.0258, +0.2337]",0.0149,0.0895
SR,SR-MMP,HA1E,723,-0.0820 ± 0.0063,+0.0000 ± 0.0000,"[-0.1117, -0.0524]",3.02e-07,4.03e-07,-0.0021 ± 0.0176,"[-0.0541, +0.0499]",0.9372,0.9372
SR,SR-MMP,HEPG2,495,-0.0577 ± 0.0067,+0.0000 ± 0.0000,"[-0.0928, -0.0225]",0.0016,0.0019,-0.0107 ± 0.0178,"[-0.0619, +0.0406]",0.681,0.9935
SR,SR-MMP,HT29,717,-0.0864 ± 0.0074,+0.0000 ± 0.0000,"[-0.1239, -0.0489]",1.43e-05,1.56e-05,+0.0135 ± 0.0143,"[-0.0371, +0.0640]",0.5976,0.7968
SR,SR-MMP,MCF7,958,-0.0940 ± 0.0069,+0.0000 ± 0.0000,"[-0.1302, -0.0578]",1.3e-06,1.56e-06,-0.0034 ± 0.0169,"[-0.0508, +0.0440]",0.8866,0.9695
SR,SR-p53,HA1E,884,-0.1603 ± 0.0068,+0.0000 ± 0.0000,"[-0.1973, -0.1232]",1.28e-13,3.07e-13,-0.0095 ± 0.0312,"[-0.1064, +0.0874]",0.8462,0.9372
SR,SR-p53,HEPG2,603,-0.1529 ± 0.0079,+0.0000 ± 0.0000,"[-0.2026, -0.1033]",1.95e-08,3.9e-08,-0.0042 ± 0.0333,"[-0.0877, +0.0794]",0.9209,0.9935
SR,SR-p53,HT29,877,-0.1613 ± 0.0059,+0.0000 ± 0.0000,"[-0.1963, -0.1262]",8.73e-15,3.49e-14,+0.0087 ± 0.0319,"[-0.0607, +0.0781]",0.8042,0.8275
SR,SR-p53,MCF7,1158,-0.1748 ± 0.0068,+0.0000 ± 0.0000,"[-0.2102, -0.1394]",2.97e-16,5.95e-16,-0.0075 ± 0.0254,"[-0.1131, +0.0981]",0.8887,0.9695
