NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles,smiles_raw,smiles_clean,smiles_canon,inchikey
0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0,TOX26521,CCOc1ccc(S(=O)(=O)O)c2cccnc12,CCOc1ccc(S(=O)(=O)O)c2cccnc12,CCOc1ccc(S(=O)(=O)O)c2cccnc12,CCOc1ccc(S(=O)(=O)O)c2cccnc12,YAMVZYRZAMBCED
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX26523,O=C(O)[C@H](O)c1ccccc1,O=C(O)[C@H](O)c1ccccc1,O=C(O)[C@H](O)c1ccccc1,O=C(O)C(O)c1ccccc1,IWYDHOAUDWTVEP
0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,0.0,,0.0,TOX4460,Nc1ccc(/N=N/c2ccccc2)cc1,Nc1ccc(/N=N/c2ccccc2)cc1,Nc1ccc(/N=N/c2ccccc2)cc1,Nc1ccc(N=Nc2ccccc2)cc1,QPQKUYVSJWQSDY
0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,,,,TOX22631,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,CNC1CC(c2ccc(Cl)c(Cl)c2)c2ccccc21,SVFXPTLYMIXFRX
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX22632,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,CN1C2CCC1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2,MNJNPLVXBISNSX
0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,TOX22633,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,GDLIGKIOYRNHDA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1883,C#CCO,C#CCO,C#CCO,C#CCO,TVDSBUOJIPERQY
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX4463,Nc1ccccc1S(=O)(=O)O,Nc1ccccc1S(=O)(=O)O,Nc1ccccc1S(=O)(=O)O,Nc1ccccc1S(=O)(=O)O,ZMCHBSMFKQYNKA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1885,CC(O)CC(C)(C)O,CC(O)CC(C)(C)O,CC(O)CC(C)(C)O,CC(O)CC(C)(C)O,SVTBMSDMJJWYQN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1886,CC(C)(C)CC(C)(C)N,CC(C)(C)CC(C)(C)N,CC(C)(C)CC(C)(C)N,CC(C)(C)CC(C)(C)N,QIJIUJYANDSEKG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1889,CC(=O)CC(C)C,CC(=O)CC(C)C,CC(=O)CC(C)C,CC(=O)CC(C)C,NTIZESTWPVYFNL
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1888,CCCC(C)=O,CCCC(C)=O,CCCC(C)=O,CCCC(C)=O,XNLICIUVMPYHGG
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4465,Nc1nc2ccccc2[nH]1,Nc1nc2ccccc2[nH]1,Nc1nc2ccccc2[nH]1,Nc1nc2ccccc2[nH]1,JWYUFVNJZUSCSM
0.0,,1.0,,,0.0,,1.0,0.0,0.0,1.0,1.0,TOX1106,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,IZUPBVBPLAPZRR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX161,c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccccc2)cc1,ZUOUZKKEUPVFJK
0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,TOX22180,CNC(=O)Nc1ccc(Cl)c(Cl)c1,CNC(=O)Nc1ccc(Cl)c(Cl)c1,CNC(=O)Nc1ccc(Cl)c(Cl)c1,CNC(=O)Nc1ccc(Cl)c(Cl)c1,IDQHRQQSSQDLTR
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,TOX22181,CC(=O)Nc1ccc(C)c(Cl)c1,CC(=O)Nc1ccc(C)c(Cl)c1,CC(=O)Nc1ccc(C)c(Cl)c1,CC(=O)Nc1ccc(C)c(Cl)c1,IGLVCWPPISIXPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX22187,CCCCNC(=S)NCCCC,CCCCNC(=S)NCCCC,CCCCNC(=S)NCCCC,CCCCNC(=S)NCCCC,KFFQABQEJATQAT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX22188,CCCCNC(=O)NCCCC,CCCCNC(=O)NCCCC,CCCCNC(=O)NCCCC,CCCCNC(=O)NCCCC,AQSQFWLMFCKKMG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX22189,CC(C)N(c1ccccc1)C(C)C,CC(C)N(c1ccccc1)C(C)C,CC(C)N(c1ccccc1)C(C)C,CC(C)N(c1ccccc1)C(C)C,OVSARSKQWCLSJT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX7876,CCc1cccc(C)c1,CCc1cccc(C)c1,CCc1cccc(C)c1,CCc1cccc(C)c1,ZLCSFXXPPANWQY
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX7877,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,SXXILWLQSQDLDL
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX7875,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,CCCCCCCCC=CCCCCCCCC(=O)OC(CO)CO,UPWGQKDVAURUGE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX7870,CCCCCCCCCCC=CC1CC(=O)OC1=O,CCCCCCCCCCC=CC1CC(=O)OC1=O,CCCCCCCCCCC=CC1CC(=O)OC1=O,CCCCCCCCCCC=Cc1cc(O)oc1O,UPFVGSHGRMQLTG
0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,,TOX4110,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,INISTDXBRIBGOC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4112,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],BGZZWXTVIYUUEY
0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4113,CCOP(=S)(CC)Sc1ccccc1,CCOP(=S)(CC)Sc1ccccc1,CCOP(=S)(CC)Sc1ccccc1,CCOP(=S)(CC)Sc1ccccc1,KVGLBTYUCJYMND
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27698,CC/C=C\CCCCO,CC/C=C\CCCCO,CC/C=C\CCCCO,CCC=CCCCCO,VDHRTASWKDTLER
,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,TOX27695,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,YJFCKXVXEKHSEC
0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX24280,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX10138,CC(=O)CCC(C)=O,CC(=O)CCC(C)=O,CC(=O)CCC(C)=O,CC(=O)CCC(C)=O,OJVAMHKKJGICOG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX21464,N#CCCNCCC#N,N#CCCNCCC#N,N#CCCNCCC#N,N#CCCNCCC#N,SBAJRGRUGUQKAF
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,TOX21728,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,AVERNFJXXRIVQN
0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,TOX21721,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,OESPFRYVCUTRKF
0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,0.0,TOX21726,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,IGXZMQCLUNTWCC
0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,TOX24000,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,RLJFTICUTYVZDG
0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,TOX24002,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,CJOFXWAVKWHTFT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27071,Cc1ccccc1CCO,Cc1ccccc1CCO,Cc1ccccc1CCO,Cc1ccccc1CCO,RUGISKODRCWQNE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27070,Cc1nc(C)c(C)nc1C,Cc1nc(C)c(C)nc1C,Cc1nc(C)c(C)nc1C,Cc1nc(C)c(C)nc1C,FINHMKGKINIASC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27072,CC1=CC(O)CC(C)(C)C1,CC1=CC(O)CC(C)(C)C1,CC1=CC(O)CC(C)(C)C1,CC1=CC(O)CC(C)(C)C1,LDRWAWZXDDBHTG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27075,Cc1cnc(C)c(C)n1,Cc1cnc(C)c(C)n1,Cc1cnc(C)c(C)n1,Cc1cnc(C)c(C)n1,IAEGWXHKWJGQAZ
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27074,CC(C)COC(=O)c1ccccc1,CC(C)COC(=O)c1ccccc1,CC(C)COC(=O)c1ccccc1,CC(C)COC(=O)c1ccccc1,KYZHGEFMXZOSJN
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27078,C=C(C)[C@@H]1CC=C(C)CC1,C=C(C)[C@@H]1CC=C(C)CC1,C=C(C)[C@@H]1CC=C(C)CC1,C=C(C)C1CC=C(C)CC1,XMGQYMWWDOXHJM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX19719,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],O=[N+]([O-])[O-],NHNBFGGVMKEFGY
0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,,TOX957,Nc1ccc(N)c([N+](=O)[O-])c1,Nc1ccc(N)c([N+](=O)[O-])c1,Nc1ccc(N)c([N+](=O)[O-])c1,Nc1ccc(N)c([N+](=O)[O-])c1,HVHNMNGARPCGGD
0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24915,CC1COc2ccccc2N1,CC1COc2ccccc2N1,CC1COc2ccccc2N1,CC1COc2ccccc2N1,BSDVKBWLRCKPFB
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24914,O=C(O)c1cc(Cl)cc(Cl)c1O,O=C(O)c1cc(Cl)cc(Cl)c1O,O=C(O)c1cc(Cl)cc(Cl)c1O,O=C(O)c1cc(Cl)cc(Cl)c1O,CNJGWCQEGROXEE
0.0,,0.0,,,,,,0.0,,,,TOX24913,CCCCCCCCCCCC(=O)NCCCN(C)C,CCCCCCCCCCCC(=O)NCCCN(C)C,CCCCCCCCCCCC(=O)NCCCN(C)C,CCCCCCCCCCCC(=O)NCCCN(C)C,TWMFGCHRALXDAR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX24911,CC(C)CCCCCOC(=O)CCS,CC(C)CCCCCOC(=O)CCS,CC(C)CCCCCOC(=O)CCS,CC(C)CCCCCOC(=O)CCS,ZHUWXKIPGGZNJW
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX956,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,XMVJITFPVVRMHC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TOX24919,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,IMQFZQVZKBIPCQ
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24918,C=CCOc1c(Br)cc(Br)cc1Br,C=CCOc1c(Br)cc(Br)cc1Br,C=CCOc1c(Br)cc(Br)cc1Br,C=CCOc1c(Br)cc(Br)cc1Br,RZLLIOPGUFOWOD
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX9739,F[B-](F)(F)F.[H+],F[B-](F)(F)F.[H+],F[B-](F)(F)F.[H+],F[B-](F)(F)F,ODGCEQLVLXJUCC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX9733,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,CC1CCC(C(C)C)C(O)C1,NOOLISFMXDJSKH
0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,TOX6050,C(=C/c1ccccc1)\c1ccccc1,C(=C/c1ccccc1)\c1ccccc1,C(=C/c1ccccc1)\c1ccccc1,C(=Cc1ccccc1)c1ccccc1,PJANXHGTPQOBST
0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,TOX5649,Cc1ccc2c(ccc3ccccc32)c1,Cc1ccc2c(ccc3ccccc32)c1,Cc1ccc2c(ccc3ccccc32)c1,Cc1ccc2c(ccc3ccccc32)c1,KANLOADZXMMCQA
